begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
6029;22.75,50;24,117.25;31.25,112.5;55.25,280.5;17.75,52;22,366;39,282.5;43.75,145.25
161;6.5,82.25;31.25,112.5;41,146.75;48,253.5;17.75,52;24,360;27.75,306.25;28.5,129.25
9120;6.5,82.25;18,132.25;39.75,142.5;64.5,240.75;17.75,52;24,360;33.25,283.5;53.75,133.75
64;6.5,82.25;25,155.75;31.75,126.75;38.75,254;7.75,65.5;24,360;33.25,298.5;64.5,152.5
6868;6.5,82.25;7,165;12.25,133.75;29.75,282.5;7.25,85.25;25,370.25;33.25,298.5;68.5,152.5
5221;6.5,82.25;18,122.5;35.75,153.25;41.25,255.25;11,121.25;25,370.25;27.75,265.5;68.5,152.5
10302;21.5,93.75;35.75,153.25;38.5,116.25;44,271;5.5,122.25;25,370.25;31,256.25;68.5,152.5
10761;13.5,124.5;28.5,167.25;42.25,112.75;44,271;5.5,122.25;11.5,365.25;37.25,271.75;68.5,152.5
9001;31.25,141.25;33.5,150.75;42.25,112.75;47.25,274;10,85.5;11.5,365.25;21.5,271.75;35,125.75
1129;12,124.75;18,165;40,136.25;47.5,273.25;10,85.5;11.5,365.25;18,241;38,119
5290;12,124.75;18,165;46.75,116;63.75,269.75;10.75,85.75;11.25,366.25;23.5,233.75;57.5,98.25
698;18,165;18.25,132.25;30.25,118;32.25,253;10.75,85.75;11.25,366.25;11.5,230;46,122.5
4104;1.75,148;13.5,117.25;29,93.75;32.25,253;10.25,86;22,363;34.5,222.5;46,122.5
10855;1.75,148;29.25,94.5;31.25,78.25;44.5,281.5;10.75,85.75;24,360;34.5,222.5;47,141.25
5436;1.75,148;31,117.25;31.25,78.25;44.5,281.5;1.25,106.75;26.25,327.25;35,212.75;44.5,116.25
7664;23.5,127.25;29.25,113.25;30,113;44.5,283.5;10.25,134.75;26.25,327.25;27.75,217.25;44.5,116.25
6245;3.5,122.75;16.25,107.25;18.75,138;45.75,281.5;10.25,134.75;21.75,325.75;27.75,217.25;42.75,134.75
425;13.75,157.25;14.5,121;34,116.5;34,307;6.25,102.75;21.75,325.75;22.5,232.75;42.75,134.75
2887;8.5,164;14.5,83.75;17.25,121.75;34,307;5.25,103.25;21.75,325.75;22.5,256.75;25.25,144.5
184;8.5,164;14.5,83.75;23.25,115.5;41.75,270.75;2.5,115.5;11.25,286.25;46.25,235;49.5,118.5
5778;17.25,191.25;21.75,68;23.25,115.5;25,261;7.5,88;7.75,281;27.25,259.25;49.5,118.5
4832;6.25,163.75;19.25,105.75;39.25,115;47.25,291.75;7.5,88;7.75,281;20.75,254.5;40.5,94.5
4660;4,156.5;19.25,105.75;53.5,138.25;69.75,303.25;9.5,88;19,261;31,254;40.5,94.5
11099;12.5,133.75;29.5,114.75;55,138.5;69.75,303.25;13.25,58;19,261;31,254;58.75,86.75
10993;16.25,120.5;30.25,117.75;33.25,117.75;46,301.5;2,36;19,261;26.75,258.75;58.75,86.75
9444;11.5,120.75;12,120.25;25.25,141.5;44.25,285.5;1.5,35;18.75,251;26.75,258.75;58.75,86.75
4185;9,134;14.25,116.25;26.5,146.75;38.75,301.5;1.5,35;3.25,230.5;26.75,258.75;58.75,86.75
4051;7.25,121.5;9,134;15.5,158.5;23.75,314.5;1.5,22.5;5.25,231.5;26.75,258.75;57.5,99.75
6180;12.25,137.5;22.5,117.5;24.75,186.75;29.75,312.75;5,58.5;12.25,231.75;26.75,258.75;57.5,99.75
5150;3.25,105.75;6.75,112.5;19.75,193;29.75,312.75;1.75,84.75;12.25,231.75;15.25,249.25;57,85.75
2377;3.25,105.75;6.75,112.5;19.75,193;29.75,306.5;8.75,49.25;18,232.75;18.5,271.25;64.5,54.25
