begin;0,0;0,324.25;274,0;274,324.25;0,0;0,324.25;274,0;274,324.25
3451;50.5,168.75;102.75,227.25;195.5,112.75;203.25,36.25;26,176.5;26.75,265.75;46,24;82,196.5
19740;52.25,182.5;120.25,219.25;195.5,112.75;212.5,46.5;26,176.5;26.25,265.5;56.75,28.5;87,212.25
32630;18,192.25;156,204.5;209,131;226.5,59.75;26,176.5;26.25,265.5;56.75,28.5;104.75,232.25
36688;18,192.25;156,204.5;180,150;257.25,76;26,176.5;26.25,265.5;46.5,13.5;100.75,266.75
30159;19,187.5;126.75,215.25;180,150;253.75,105.25;26,175.5;26.25,260;46.5,13.5;107.5,275
1896;10.25,191.5;152.75,221.5;158.5,177;253.75,104.25;18.25,201;25.75,259.75;46.5,13.5;107.5,275
38484;15,237.25;125.5,189.75;132.75,202.25;253.75,104.25;18.25,201;25.75,259.75;38.5,5;107.5,275
29493;31.5,221.75;122.25,165.5;140,165.25;253.75,104.25;18.25,201;25.75,259.75;38.75,8.5;101,298.75
32431;10.5,254.5;101.25,189.25;103.25,177.5;247.25,83;18.25,201;25.75,259.75;38.75,8.5;61.75,284.25
28097;60.75,240.25;107.75,164.25;138.25,174.75;247.25,83;10,156.5;25.75,259.75;35.75,7.5;61.75,284.25
3639;88.5,252.5;107.75,164.25;146.75,188.75;247.25,83;10.75,157.75;13.5,257.75;23.25,51.25;90,293.25
5287;64.5,245.75;107.25,165;188.75,159.25;247.25,83;10.75,157.75;24,279;27.25,20.75;90,293.25
29174;46.25,235;119.75,201.75;215,166.5;247.25,83;10.75,157.75;24,279;33.25,56;112.25,315.75
12555;61,249.5;93.25,202.5;214.75,200.25;247.25,83;10.75,157.75;24,279;38.25,23;113,316.25
37665;60.75,249;118.5,207;221.75,202.25;264.5,101.5;10.75,157.75;24,279;27.75,19.5;97.5,297.25
25915;86.25,237;99.75,197;244.25,197.75;263.75,101.5;10.75,157.75;24,279;27.75,19.5;85,263.5
17659;61.5,231.5;91.25,166.75;216.25,205;263.75,101.5;10.75,157.75;14,303;27.75,19.5;85,263.5
33132;22,237.5;91.25,166.75;218.75,207;252.25,77.25;10.75,157.75;13.25,301.75;16,39.5;55.5,234.25
24950;11,199.25;131,147.5;218.75,207;252.25,77.25;10.75,157.75;13.25,301.75;30.5,45.75;57.5,235.25
33728;30.5,167.75;127.25,147.5;218.75,207;232.25,95.25;7.75,161.25;13.25,301.75;30.5,45.75;94.25,248
14726;30.5,167.75;127.75,150.25;187,191.75;232.25,95.25;7.25,161.5;9,311.25;47.75,20.5;92.75,262.75
12424;54.5,159.5;101.25,141;165,193;260.75,106.75;7.25,161.5;8.5,310.75;47.75,20.5;73,276.25
414;58.25,120.75;101,140.75;138,219.5;260.75,106.75;7.25,161.5;22.25,319.75;36.5,20.5;64.75,308.5
15476;81.5,111.5;101,140.75;138,219.5;239,136;21.25,183;22.25,320;60.5,17;64.75,308.5
38882;55.5,93.25;105.75,112.25;126.75,245;239,136;16.75,213.75;22.25,320;60.5,17;64.75,308.5
33125;54.5,91;105.75,112.25;133.5,257.75;205.25,138.75;16.75,213.75;22.25,320;52.25,10.25;90.5,288
10286;19.25,91.5;105.75,112.25;155.25,266.25;237,133.25;16.75,213.75;30.25,296.5;54,10.5;108,311
15611;19.25,91.5;138.25,140.75;138.25,229.75;269.25,122.75;16.75,213.75;40.5,282.25;54,10.5;108.25,310.5
28497;4.5,128.5;138.25,140.75;160,205.25;229,125.75;25.25,237;40.5,282.25;54,10.5;108.25,310.5
15090;13,87.25;154,119.75;160,205.25;249,155.75;22,214.75;40.5,282.25;98.25,29.75;108.25,310.5
37906;12,86.75;149,68.75;160,205.25;258.75,177.5;22,214.75;40.5,282.25;58,20.25;95.75,293.75
1344;12,92.25;118.75,38.75;151.5,205.75;258.75,177.5;23.75,215.5;48,300;58,20.25;122,285
22525;12,93;91.5,10;130.75,245;234.25,198.75;24.5,215.5;48,300;78.25,16.75;122,285
13051;34.5,114.75;91.5,10;149.25,273.25;232.25,215.5;14,196.25;48,300;97.25,34;155.25,308.5
1782;15,93.5;91.5,10;167.75,303.5;230.5,233;22,212.5;48,300;87,73.5;126.75,310.25
9867;8.75,57.5;54.5,7.75;187.25,295;243,242.25;31,246.5;48,300;87.25,73;126.75,310.25
2820;46.5,78;50.25,30;197.75,279.75;243,242.25;31.25,244.75;48,300;106.5,77.5;117.25,269.25
15606;16.5,105.75;49.25,30.25;177.5,260.75;243,242.25;41.75,265.5;72.75,276.5;106.5,77.5;115.75,269.5
16462;16.5,105.75;49.25,30.25;195.75,282;243,242.25;38,314.25;58,301;77.5,119.5;103.5,259.25
27229;11.5,129;18,25.5;167.75,302;243,242.25;38,314.25;59.75,265.25;63.5,141;112.5,274.5
17393;4.5,115.25;18,25.5;119,297.25;243,242.25;41.25,260;43.75,283.75;66.5,151;112.75,269.5
36195;3.75,116;18,25.5;141.75,321.75;243,242.25;1.75,255.75;47,323;58.75,115.5;112.75,269.5
2121;4,114.25;27.5,58.5;141.75,321.75;236,256.5;1.75,255.75;22.75,298;51,119;92.5,298.5
25239;4,114.25;4.25,58.5;137.75,318.5;224.75,233.25;1.75,255.75;32.25,315.25;58.5,145.75;92.5,298.5
23205;5.5,114;20.5,34.25;175.75,313;226.25,234.75;1.75,255.75;22.5,313.75;58.5,145.75;72.5,284.5
35596;37,112.75;52.25,51.75;175.75,313;268.75,213.75;5,257.25;22.5,313.75;28,187.25;92.75,258
5371;60,101.5;90,60;175.75,313;232.25,189;2,259.25;22.5,313.75;28.25,188;103.25,230.5
7408;60,98;108,75.75;175.75,313;223,174.5;2,259.25;19.75,318.75;27,189.25;91.25,254.5
38853;60,98;99.25,55;199.25,293.75;256.75,182.25;2,259.25;19.75,318.75;27,189.25;91.5,231.75
29492;29.75,95.5;106.75,34.5;185,295;228,206.5;2,259.25;19.75,318.75;27,189.25;111.5,244.75
35727;45,71.5;84.25,38.75;185,295;219.25,220.5;2,259.25;14.25,317.75;27,189.25;117.5,243
30638;70.75,42.75;88.75,81.5;147.25,313.75;217.25,217.5;12.25,251.75;14.25,317.75;27,189.25;148.75,247.75
13497;44,13.75;90.5,81.75;130.5,284.75;227,181.75;13.25,251.25;14.25,317.75;35,145.5;148.75,247.75
38949;43,51;90.5,81.75;130.5,284.75;230.5,233;13.25,251.25;54.25,315;60.25,99.25;105.5,217.25
37619;55.5,16.25;66,101;130.5,284.75;248.25,246.75;13.25,251.25;54.25,315;59.75,99.25;141.5,190.5
36869;20.5,20.25;74.75,135.75;130.5,284.75;248.25,246.75;5.75,214.5;54.25,315;59.75,99.25;153.75,203
26736;57.75,6.25;82.25,144.75;132.75,286;209.5,235.5;41,203.25;54.25,315;59.75,99.25;153.75,203
35792;57.75,6.25;98.5,103.25;168.25,311.25;209.5,235.5;31.25,199.25;52,300.75;59.75,99.25;153.25,203
4386;24.5,23.75;134.5,120.25;168.25,311.25;225.25,217.5;31.25,199.25;38.25,284.75;69.75,82.25;152.5,203.75
4755;30.25,30.75;134.5,120.25;168.25,311.25;225.25,216.75;32.5,198;53,301.5;60,67;203,200.75
12073;5.5,53.25;134.5,120.25;154.25,321.25;225.25,216.75;32.5,198;71.5,258.75;88.5,32;168.25,171.25
4223;5.5,53.25;137.25,128.5;143.5,285;231.75,232.75;32.5,198;88,227;117.5,32;168.25,171.25
14816;13,74;125.5,98.25;170.5,309.5;234.5,237;32.5,198;95.5,218;117.5,32;189,166.75
3709;13,74;125.5,98.25;199.5,296.25;232.75,234;46.75,202.75;113.5,203.5;125.5,18;187.25,164.75
30234;13,74;153.5,70.25;175.5,318.75;244.5,246.5;57.25,233.5;113.5,203.5;127,15.25;186,166.5
32578;16,75.5;136.75,54.75;174.75,288.25;242,277.25;44,266.25;113.5,203.5;137,31;186,166.5
10370;16,75.5;158,46.25;164,256.75;254.25,293.5;9.5,272;113.5,203.5;133.5,40.5;186,166.5
17818;28.25,95;161.25,47.5;178.5,222.75;254.25,293.5;17.25,287;94.75,217.5;150.25,70;186,166.5
7523;28.25,95;150.25,44.75;178.5,222.75;254.25,293.5;7,310.25;92.25,230;142.5,93.5;162.25,179
3243;62,105.25;143.75,27.75;178,223.25;254.25,293.5;24,318.75;83,250.5;142.5,93.5;161.5,179.5
4403;76.25,81;143.75,27.75;209.25,198.75;242,308.25;25,320;106.25,236.25;142.5,93.5;161.5,179.5
6589;75.75,111.5;148.75,27.5;211,171;242,308.25;25,320;95.25,266.75;142.5,93.5;153,200
34133;89.75,121.5;120,23;177,149.5;242,308.25;25,320;95.25,266.75;136.75,88.5;152.5,199.5
38840;89.75,121.5;120.75,22.5;176,151.5;242,308.25;25,320;69.75,279.5;143,48.75;163.75,222
5167;87.25,173.25;90.25,25;176,151.5;209.75,321.25;41,298.5;55.25,233.5;143,48.75;162.75,221.25
12598;70,214;94.5,11.5;207.25,129.75;209.75,321.25;19,272;90.25,216;143,48.75;205,204.5
12441;71.5,241.25;94.5,11.5;207.25,129.75;210,291.75;18,272;88.25,199.5;132.75,11.75;174.5,230.75
33475;43,250;94.5,11.5;207.25,129.75;210,291.75;37,268.25;98,183;110.5,6.5;175.75,230.5
23243;14.75,240;124.5,1.25;235,140.75;246.75,275.25;37,268.25;98,183.5;110.5,6.5;175.25,230.5
38560;14.75,240;124.5,1.25;241.75,109;246.75,275.25;18.5,287.25;103.5,152;110,7;194.25,227.25
37322;14.75,240;99,33;241.75,109;266.75,307;5.5,280.5;77,183.25;110,7;194.25,227.25
15151;14.75,240;138.5,45.75;214.25,79;266.75,307;7.75,302.25;59,199.25;122.5,0.25;194.75,226.25
10006;0.5,220;179,46.5;214.25,79;253.75,309.5;13,268;77.5,211.25;122.5,0.25;195.75,226.25
38811;19.5,196.5;196,71.75;230.75,106;253.75,309.5;28.5,266;39.5,200.75;122.5,0.25;195.75,226.25
36877;19.5,196.5;171.25,99.25;230.75,106;262.5,307.5;1,261;21,202.5;122.5,0.25;201,217.25
8854;18.25,197.5;215.5,92.5;246.5,136;262.5,307.5;30,291.5;41.75,199;122.5,0.25;175,246.5
3180;17.25,197.25;170.5,113;242.5,177;262.5,307.5;30,291.5;49.75,203.75;142.25,0.25;163.25,232
29813;60.5,194.5;132,106;242,177;262.5,307.5;27,289;49.75,203.75;142.75,0.25;175.5,249.25
30267;78.5,168.25;142.75,121;229.75,190.5;262.5,307.5;27,289;42.5,214.5;142.75,0.25;175.5,249.25
29101;101.75,175.5;162.5,106;229,191.25;262.5,307.5;54,279.5;54.75,234.5;116.5,13.75;175.5,249.25
38806;100.5,174.75;162.5,106;223.75,233.25;262.5,307.5;25.5,312.75;54.75,234.5;69.75,5.25;203,233.75
8121;89.75,148.25;127.5,105.5;226.25,234.75;262.5,307.5;2.75,298.5;54.75,234.5;94,18;224.25,218
38306;88.5,136;141,129.25;226.25,234.75;240,277;2.75,298.5;59.5,199.75;94,18;222.75,215.75
