begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
5772;10.5,126.5;21.75,256.5;25.5,312;29.75,254.25;14.75,58.5;23.5,234.75;30.75,290.5;62.75,233.25
3202;13.75,165;21.75,256.5;39.5,301.75;62.5,260.25;4.25,51.5;7.75,252;30.75,290.5;66.75,232.5
6090;14.5,166.25;21.75,256.5;42.5,292.75;62.5,260.25;2.5,23.5;7.75,252;23.25,321;60.25,213
2381;14.5,166.25;23.75,252.75;42.5,292.75;46.5,255.5;3,10.5;11.75,250.25;23.25,321;43.25,226.25
4103;14.5,166.25;23.75,252.75;32.75,303.25;42.25,269.75;6.25,35.75;11.75,250.25;30.5,325.75;46.75,227.75
1331;14.5,166.25;14.5,236.25;32.75,303.25;55.5,276;12.25,64.5;14,255;31.75,360.5;46.75,227.75
1648;10.75,134.5;29,218.5;32.75,303.25;63,256;5.25,79.5;23.75,275.75;26.75,360.5;46.75,227.75
3151;13,165.5;29,218.5;31.25,313.25;32.5,253;5.25,78.5;26.75,264.5;44.25,373.25;46.75,227.75
4130;5.5,124.75;11.75,256.25;33,267.75;53,245.25;15.5,50.5;28.75,259.5;44.25,373.25;46.75,227.75
565;16.75,122;21,243.25;35,267.75;59.5,241.75;9,16.75;28.75,259.5;46.5,372;46.75,227.75
213;23.25,143.5;28.75,262.5;33.25,256;37.25,233.25;18.5,7;28.75,259.5;30.5,367.75;46.75,227.75
2379;16,126.5;32.75,251.75;37.25,233.25;48,256.5;8.75,9.75;10.75,229.75;31.5,367.5;46.75,227.75
2235;6,121.75;37.25,233.25;38,256.5;53,264.75;1.25,8.75;10.75,229.75;19.5,372.5;46,231.25
5627;22.25,149.25;37.25,233.25;37.25,253.25;47,255.75;4.25,41.5;10.75,229.75;24,343.5;71,232.25
1020;11,177.75;34,251.75;40.75,244;60.5,285;7.75,47.25;20,212.75;24,343.5;71,232.25
4448;26.5,168;47.75,254.75;50.5,257.25;70.5,303.75;7.75,47.25;20,212.75;43,327.25;69.25,233.25
5655;25.75,160.75;47.75,254.75;48,284.25;70.5,303.75;15,54.25;20,212.75;28.75,337;65.75,263.25
4301;15,132.25;29.5,252.5;59.75,303.25;64,278.25;15,54.25;18,189.5;28.75,337;41,282.25
2693;10,122.75;11.75,241.25;39.5,302.25;63,305.75;15,54.25;18,189.5;28.75,337;53,307.5
1104;8,123.5;11.75,241.25;25.25,303.5;63,305.75;13,47;27.5,200;40.75,367.25;60.75,299
3096;23.5,93.25;53.25,246.5;56.5,280.5;64,266.25;13,47;27.5,200;42.5,367.5;57.75,279.25
6287;41,114.75;53.25,246.5;56.25,281.5;64,266.25;22.25,49.75;27.5,200;42.75,333.5;60.5,279.5
6074;25.25,124.75;56.25,281.5;64,266.25;69,229;17,11.25;20.5,190;37.75,333.5;60.5,279.5
4376;25.75,124.75;32.75,279.5;39.25,255.75;66.75,228.25;17,11.25;20.5,190;23.25,356.75;38.75,264
5939;30.25,114.25;32.5,304.5;39.25,255.75;65.5,228;3.25,35;16,191;23.25,356.75;30.75,256.5
4900;14,121.5;32.75,303;55.5,217.75;68.25,217;3.25,35;16,191;17.5,362.75;30.75,256.5
6216;9.5,123.5;45.75,273.75;64.75,212.5;68,227.75;12,30.25;16,191;17.5,362.75;67.75,267.75
6231;34.75,115.75;45.75,273.75;60.25,208.75;68,227.75;9.25,59;49.25,191.5;61,348.25;67.75,267.75
5407;0.75,139;25.5,313.75;61.75,175.25;63.25,227.25;9.25,59;49.25,191.5;63.75,352.5;67.75,267.75
2234;27.25,107.25;36,342.75;62.75,140.5;62.75,233.5;6.75,66.5;49.75,207;63.75,352.5;67.75,267.75
1188;17.75,105.5;36,342.75;62.75,124.5;62.75,233.5;16.5,48.25;36.25,185;42.75,347.5;67.75,267.75
3273;13.25,134.25;36,342.75;47.25,143.25;62.75,233.5;43.5,47.75;54.25,207;63,352.25;67.75,267.75
2816;14,153.75;18.75,361.25;47.25,143.25;50,256.5;29.5,51.25;33.25,198.25;52.5,351.75;67.75,267.75
458;14,153.75;32.75,351.75;38,140.75;53,249.75;32.75,55.5;33.25,198.25;51.75,353.5;56.25,270.25
4782;24,164;25.5,365.5;29.75,112.75;53,249.75;3.75,87;9,196.25;51.75,353.5;56.25,270.25
3052;17.25,165.75;25.5,365.5;29.75,112.75;48.25,283;3.75,86.5;25.25,167.75;61.75,305.75;65.25,315.75
5875;1.5,200;16.5,365;22.5,114.5;48.25,283;22,57.25;25.25,167.75;57.25,273.25;65.25,315.75
2654;1.5,200;16.5,365;45,119.5;48.25,283;10,92.25;33.25,201.75;39,290;57.25,281.75
3793;7.5,176.5;9.75,348.75;45,119.5;55.25,284.75;10,92.25;33.75,202;64,300.5;67.25,269
5606;7.75,164.5;9.75,348.75;53.75,102;55.25,284.75;3.5,85;33.75,202;64,300.5;65.5,283
2961;14.75,133.5;22.25,349.25;52.75,100.25;71.5,304.75;2.25,91.25;34,209.75;64,300.5;65.5,283
161;13.5,156;22.25,349.25;56,101.5;71.5,304.75;16,57;33.25,198.75;42.75,319.75;62.5,281.25
5965;13,156.25;21,313;31,113;66.25,305.25;16.75,50.75;33.25,198.75;42.75,319.75;62.5,281.25
2209;4.75,135.5;23.75,312.25;25.25,105.75;69.5,304.75;8.25,50.25;33.25,198.75;43,317.5;62.5,281.25
6085;4.75,135.5;20.5,313;25.25,105.75;69.5,304.75;2.5,29.25;34,172.75;42.25,298;51.5,310.75
1943;4.75,135.5;5.25,311.25;25.25,105.75;69.5,304.75;9.25,28.25;31,200.75;31.25,283;33.25,281.5
3570;4.75,135.5;30.75,305.25;53.75,90;69.5,304.75;9.75,32.75;23,230.25;30.75,281;47.25,298
2308;1,148.25;30.75,305.25;61.75,70;66.5,303.75;4.75,57.75;12.25,230.25;20.5,285;47.25,298
4803;1,148.25;38,306;61.75,70;64.5,304.75;13.5,90.75;13.5,240.25;18.25,261;62.5,306.25
5797;8.5,169.75;37.25,275.75;61.75,70;64.5,304.75;9.75,58;14.75,238.5;19,284;39.5,321.25
4956;35.5,156.75;38,275.75;57.75,79.5;64.5,304.75;7.5,86.5;8.75,250.75;18,284.25;39.5,321.25
2922;27,167.75;34.25,306.5;45,98;56.5,294.25;7.5,86.5;8.75,250.75;18,284.25;47.75,353.5
4837;11.5,164.5;23.75,306.25;41,69.25;63.5,259.25;7.5,86.5;8.75,250.75;35.75,269.75;42,326.25
4156;0.75,142;3.5,311.5;41,69.25;53.25,233.5;7.75,108.25;8.75,250.75;34.5,266.25;45.75,310.25
685;0.75,142;37,304.5;38.5,79.5;45.75,267.75;2.5,122.25;28.25,233.75;34.5,266.25;45.75,309.75
1387;11,171.25;21,318.75;27.25,50;37.75,303.25;10,105.75;34.5,266.25;41,246.25;45.75,309.75
