112,78	142,123	112780	142123
92,731	152,262	92731	152262
111,446	91,302	111446	91302
110,088	81,681	110088	81681
111,51	96,926	111510	96926
97,294	138,249	97294	138249
97,171	123,748	97171	123748
88,287	152,262	88287	152262
92,795	157,886	92795	157886
88,351	157,886	88351	157886
97,235	129,372	97235	129372
97,23	132,625	97230	132625
110,152	87,305	110152	87305
187,679	70,575	187679	70575
187,679	74,474	187679	74474
157,199	152,78	157199	152780
157,199	149,209	157199	149209
157,199	158,764	157199	158764
157,199	155,195	157199	155195
146,973	104,166	146973	104166
101,384	94,223	101384	94223
149,514	98,452	149514	98452
174,408	151,373	174408	151373
149,644	127,878	149644	127878
101,254	80,672	101254	80672
149,644	101,208	149644	101208
142,528	137,186	142528	137186
84,109	88,927	84109	88927
188,248	82,577	188248	82577
169,329	151,373	169329	151373
173,009	71,147	173009	71147
95,538	91,466	95538	91466
170,468	71,147	170468	71147
154,683	146,228	154683	146228
170,598	73,902	170598	73902
182,533	148,616	182533	148616
136,308	86,603	136308	86603
98,843	94,223	98843	94223
101,384	83,428	101384	83428
135,544	88,927	135544	88927
182,663	151,373	182663	151373
136,178	83,847	136178	83847
106,464	99,303	106464	99303
152,014	143,471	152014	143471
87,284	83,211	87284	83211
145,068	137,186	145068	137186
138,848	86,603	138848	86603
96,174	80,672	96174	80672
183,933	73,902	183933	73902
149,008	86,603	149008	86603
90,589	85,967	90589	85967
166,658	148,616	166658	148616
84,239	97,398	84239	97398
142,658	139,943	142658	139943
103,793	96,547	103793	96547
154,553	143,471	154553	143471
87,284	88,927	87284	88927
101,384	99,303	101384	99303
106,334	91,466	106334	91466
98,713	80,672	98713	80672
138,084	88,927	138084	88927
95,668	88,508	95668	88508
138,214	91,682	138214	91682
84,109	94,642	84109	94642
90,459	94,642	90459	94642
103,923	94,223	103923	94223
183,299	138,038	183299	138038
183,169	83,847	183169	83847
98,843	83,428	98843	83428
142,778	69,511	142778	69511
148,878	83,847	148878	83847
187,109	125,973	187109	125973
101,254	96,547	101254	96547
87,414	91,682	87414	91682
142,908	72,268	142908	72268
90,459	88,927	90459	88927
135,674	91,682	135674	91682
188,378	104,383	188378	104383
140,359	72,238	140359	72238
98,843	99,303	98843	99303
106,334	96,547	106334	96547
84,239	91,682	84239	91682
87,414	97,398	87414	97398
103,793	91,466	103793	91466
186,979	131,471	186979	131471
146,338	83,847	146338	83847
147,103	101,208	147103	101208
140,229	69,481	140229	69481
87,414	85,967	87414	85967
90,589	97,398	90589	97398
98,713	85,752	98713	85752
171,739	148,616	171739	148616
103,923	99,303	103923	99303
179,359	142,901	179359	142901
141,259	83,847	141259	83847
138,718	83,847	138718	83847
183,803	71,147	183803	71147
106,464	94,223	106464	94223
148,878	89,562	148878	89562
152,144	146,228	152144	146228
170,598	143,753	170598	143753
146,973	98,452	146973	98452
90,459	83,211	90459	83211
170,468	140,996	170468	140996
149,008	92,318	149008	92318
171,869	151,373	171869	151373
146,468	86,603	146468	86603
171,116	99,052	171116	99052
147,248	72,178	147248	72178
149,644	106,922	149644	106922
164,883	146,927	164883	146927
98,843	88,508	98843	88508
171,728	85,447	171728	85447
145,198	139,943	145198	139943
130,463	88,927	130463	88927
176,818	148,616	176818	148616
84,109	83,211	84109	83211
178,218	87,238	178218	87238
185,709	101,627	185709	101627
144,433	125,121	144433	125121
180,899	98,837	180899	98837
98,713	91,466	98713	91466
162,213	144,172	162213	144172
187,109	134,228	187109	134228
179,359	148,616	179359	148616
130,593	91,682	130593	91682
162,343	146,927	162343	146927
95,538	85,752	95538	85752
141,259	93,672	141259	93672
146,973	119,407	146973	119407
147,118	69,422	147118	69422
166,788	151,373	166788	151373
144,433	119,407	144433	119407
147,103	127,878	147103	127878
103,923	88,508	103923	88508
178,088	84,481	178088	84481
170,598	138,672	170598	138672
182,663	145,658	182663	145658
139,989	137,186	139989	137186
101,254	85,752	101254	85752
103,793	80,672	103793	80672
96,304	83,428	96304	83428
95,668	94,223	95668	94223
144,563	122,163	144563	122163
149,514	125,121	149514	125121
179,489	145,658	179489	145658
144,989	142,661	144989	142661
138,848	96,428	138848	96428
142,658	91,682	142658	91682
101,384	88,508	101384	88508
185,074	116,231	185074	116231
90,589	91,682	90589	91682
103,923	83,428	103923	83428
185,204	118,988	185204	118988
176,948	151,373	176948	151373
142,419	142,661	142419	142661
186,979	123,216	186979	123216
137,769	72,128	137769	72128
149,514	119,407	149514	119407
185,839	104,383	185839	104383
138,718	93,672	138718	93672
170,468	135,917	170468	135917
174,278	148,616	174278	148616
137,639	69,371	137639	69371
133,003	88,927	133003	88927
140,119	139,943	140119	139943
169,199	148,616	169199	148616
133,133	91,682	133133	91682
147,103	106,922	147103	106922
103,793	85,752	103793	85752
144,563	127,878	144563	127878
188,248	101,627	188248	101627
130,593	96,762	130593	96762
183,299	86,603	183299	86603
