begin;0,0;0,174.5;223.5,0;223.5,174.5;0,0;0,174.5;223.5,0;223.5,174.5
612;13.5,45.25;84.75,95.25;128.75,24.5;175,87.5;40,17.5;66.5,109.75;98.5,13.75;137.25,48.5
8433;27.25,21.5;84.75,95.25;120.5,17;160,74.25;40,17.5;76,139.25;98.5,13.75;132,20
7689;32.25,15.75;84.75,95.25;120.5,17;156.5,101;56.75,43;76,139.25;76.5,10;118,29
20;16.5,6.25;99,89.5;129.5,23.5;156.5,101;33.25,57;76,139.25;84.75,16.5;96.75,35.75
3319;17,7.5;122.75,80;129.5,23.5;176,108.25;35.5,71.75;95.5,139.75;96.75,35.75;99.5,13.25
8441;17,7.5;122.75,80;129.5,23.5;189.75,109;33.25,77.75;74.5,150.25;99.5,13.25;117.5,33
7786;17,40.5;120,105.5;129.5,23.5;189.75,109;22.75,78;77.5,129.25;99.5,13.25;119.25,60.5
7732;23,40.25;120,105.5;129.5,23.5;157,103.25;24.75,91.25;52,135.5;101.75,12.5;119.25,60.5
3976;32.75,58;122,70;129.5,23.5;155,103.5;20,86.5;52,135.5;117.25,42;144.75,44
2230;58.5,67.5;108.75,73.5;121.75,21.5;158.5,84.25;20,86.5;52,135.5;96.5,34.5;144.75,44
8412;58.5,67.5;94.5,63.5;121.75,21.5;158.5,84.25;3,113.75;64.5,150.25;100,33;144.75,19.25
5414;58.5,67.5;83.25,93;121.75,21.5;161.75,85.75;2.25,114.25;76.25,126;117.25,65.25;181.25,19.75
6938;34.25,90.5;51,80;119.5,7.25;161.75,85.75;13,93.25;62.5,104.5;117.25,65.25;181,20.25
354;40.25,70;67.75,81.25;120.5,35.25;148,57.25;14,72.25;62.5,104.5;117.25,65.25;181,20.75
3620;21.25,70.25;84.75,91;120.5,35.25;130.5,70;14,72.25;40.75,101;101.25,57;181,20.75
1660;15,85.25;89.75,97.25;120,34.75;123,57.25;14,72.25;37.25,123.75;101.25,57;154.5,34.75
6692;30.5,90.75;59.75,92.5;121,35;144.5,36.5;14,72.25;37.25,123.75;98.25,61.75;136.25,41.25
8110;37.25,80.5;47.25,103;95.5,47;140,23.5;14,72.25;59,134.5;98.25,61.75;135.75,40.75
3373;37.5,81;57.75,108;79,24;120.75,21.75;2,79;59,134.5;98.25,61.75;135.75,40.75
2316;24.75,88;54.75,110.75;75.25,59.5;111.25,28.75;2,79;53.5,134;98.25,61.75;136.75,40.75
3351;40,110.75;43.5,125;56,69.5;126,45.25;17.75,52.5;53.5,134;73,45.5;136.75,40.75
3838;37.75,97;46.75,125.5;58,76.25;127,44;35.75,35;53.5,134;72.75,46;136.75,40.75
6876;9.25,102.5;33.5,107.75;58,76.25;145.5,57;34.75,35;53.5,134;78.5,74.25;136.75,40.75
4029;26.5,119.5;49.75,101.75;78,54.25;145.5,57;22,63.25;53.5,134;90,99.25;117.5,18
7744;27,119.75;49.75,101.75;78,54.25;138.5,57.75;16.75,40.25;34,143.75;67.75,108.75;111,25.75
6333;24.25,145.75;48.75,100.25;78,54.25;139.5,76.25;12,64.25;12.25,156.75;82.5,91.25;111,25.75
4992;24,146.75;68.25,122;80,55.25;125.5,63.5;12,64.25;12.25,156.75;79,89.75;126,21
7556;16.5,167.25;53.5,94;80.25,55.5;124,55.25;12,64.25;12.25,156.75;84.75,126.5;96.75,22.25
715;16.25,166.75;34.5,63.5;66.25,78.75;131.25,27.5;12,64.25;19,147;84.75,126.5;104.25,5
1557;16.25,166.75;17,40.5;66.25,78.75;171.25,28.5;11.75,63.5;19,147;66.5,105.5;81,29.5
1286;16.25,166.75;19.5,38.75;94.25,87.5;194.5,15.25;11.75,63.5;30.25,120.25;66.5,105.5;67.5,29.75
2057;16.25,166.75;23,39.75;85.5,113.5;173.75,26.25;11.75,63.5;30.25,120.25;71.5,108.75;78,36
6916;16.25,166.75;23,39.75;91.5,114;198,20.75;22.25,39.25;30.25,120.25;66.5,74.75;70.25,45.5
1415;17.25,153.25;43.5,42.5;87.25,123.75;198,20.75;13.25,32.25;41.25,153.25;42.25,60.75;70.25,45.5
2327;16.75,153.25;43.5,42.5;56,122.25;215.25,7.75;6.75,33.25;41.25,153.25;43,100.5;69,67.25
6570;24.5,138.25;62.75,19.5;76,98.5;214.75,8;6.75,33.25;41.25,153.25;65.25,117.25;70.75,89.5
7416;24.5,137.75;54.75,22.5;69,63.5;190,10.25;6.75,33.25;41.25,153.25;69,89.75;73.25,105
3248;8.75,150.5;63.25,31.75;79.5,54.25;175.75,2.5;6.75,33.25;20.75,149.75;60,108.75;69,89.75
2006;8,151.5;63.25,31.75;123.25,56;160,4;15.5,9;19,156.25;60,108.75;68,89.75
7807;8,151.5;63.25,31.75;152,27.75;167.25,26.75;24,45.5;27.75,147.25;40.25,117.75;68,89.75
5778;8,151.5;43.75,15.75;158,60.75;183.75,13.25;14.5,37.75;27.75,147.25;40.25,117.75;59,63.75
3580;8,151.5;46.5,18.75;170.5,84.25;171.25,26.5;12.5,26;40.25,117.75;48.5,145;59,63.75
5492;8.5,151.5;81.75,16;134.75,63;156.5,53.75;12.5,26;40.25,117.75;47.5,140.25;72,38.25
5148;20,144.75;78.5,46.75;136.5,44.5;165.25,26.25;22,39.75;40.25,117.75;47.5,140.25;58.5,28
4054;19.5,143;63.5,47.25;119.75,45;158.75,58.25;22,39.75;40.25,117.75;47.5,140.75;51.5,37.5
5840;19.25,127;84.5,60.5;122,23.5;124.5,53;0.25,34;40.25,117.75;47.5,140.75;52.25,23
135;48.25,114.5;85.75,62;122,23.5;124.5,53;1.75,49.75;14.75,127.5;42,166.75;62.5,64.75
4326;58,86;95.5,98.5;125.25,47.25;139,78.25;1.75,49.75;14.75,127.5;42,166.75;69.75,89.25
5992;78.25,99.75;89.25,86.75;139.25,22.75;140.75,56.75;1.75,49.75;14.75,127.5;42,166.75;85.75,112
3669;44,98.75;89.25,86.75;139.25,22.75;159,78.5;15.5,47.25;29.25,132.25;37.25,153;95.5,125.25
27;17,85.25;89,86.5;139.25,22.75;155.75,102.5;37.25,63.5;37.25,153;54.25,134;105.75,114.5
8451;17,85.25;62.5,99.5;137.25,31;158.75,123.75;23.25,61.75;37.25,153;54.25,134;105.75,114.5
6288;17,85.25;63,99.5;138.25,54.5;174.5,108;24,61.5;47.25,168.25;54.25,134;122,122.75
6237;17,85.25;53.75,101.25;147,53.25;197.75,122.25;26,71.75;47.25,168.25;55.25,138;124,121.5
1086;17,85.25;75.75,84.5;147,53.25;213.5,117.25;26.5,72;36.5,165.75;54.75,138.5;104,112.5
5450;36.75,58.5;73.75,84.75;122.25,52.5;186.5,138.5;26.5,72;36.5,165.75;51,153.25;85.5,139.75
7414;36.75,58.5;73.75,84.75;124.75,71;197.5,156;32,90.25;56.5,173.75;61.25,162.5;85.5,139.75
1703;34.75,58.75;92.75,97.25;123.25,49.75;218.75,166;32.75,86.75;56.5,173.75;61.25,162.5;80,135.5
7923;34.75,58.75;115.25,101.75;123.25,49.75;218.75,166;8.75,101.5;51.75,150.75;56,173.75;83.75,140.25
4507;39.75,58.5;115.25,101.75;121.75,54.25;210.5,164.75;4.5,123.25;56,173.75;74.25,158.25;86,125.75
3943;29,66.75;100.25,106.25;138,55.5;188.75,170.25;9.75,150.75;56,173.75;72.75,161.75;86,125.75
2775;59.25,75.75;100.25,106.25;152.5,64.75;189.25,169.75;9.5,168;56,173.75;72.75,161.75;77.25,108.25
8277;72.5,98.5;100.25,106.25;174.75,58.5;217.25,162.25;9.5,168;56,173.75;72.75,161.75;76.75,127.75
3144;87.75,90.5;94,130.5;158,28.25;217.25,162.25;9.5,168;58.75,133.75;85.25,125.75;86.25,106.5
8029;83.25,80;91.75,141.75;158,28.25;213.5,158.25;9.5,168;37,124.5;83.25,107;118.25,111
8337;83.5,78.75;114.75,154.75;158,28.25;213.5,158.25;9.5,168;33.25,122.75;64.75,107.75;140.25,114.75
8219;102.25,93;133,160;158,28.25;213.5,158.25;17.75,164.75;33.25,122.75;85.25,125.75;140.25,114.75
2468;99.25,93;115.5,143.75;158,28.25;213.5,158.25;17.75,164.75;28,100;88.25,126;144.75,111.25
4037;90.25,108;128.25,131.25;158,28.25;199.25,155;10.75,150.75;27.75,103.75;88.25,126;132.5,115.25
2579;97.25,130.25;128.25,131.25;130.5,47;199.25,155;8.75,133.5;27.25,103.75;101.75,111;166,103.25
8115;97.25,130.25;126.5,129.25;135.25,60.25;200.25,140.25;8.75,133.5;25.25,100;127.75,129.25;156.75,84.25
861;67.5,135.5;126.5,129.25;143,82.75;183.25,142;8.75,133.5;25.25,100;145,128.5;158.5,113.5
748;92.75,143.75;114.25,101.75;142.5,84.5;182.25,161.5;8.75,133.5;32.25,83.25;148.5,154.5;158.5,113.5
591;90,150;114.25,101.75;139,105.25;184.75,165.25;20,147.25;32.75,85.5;156.75,160.75;158.5,113.5
5442;90,154;122.75,107.75;133.75,91;205.5,168.25;7.75,167.25;32.75,85.5;156.75,160.75;158.5,113.5
3125;83.5,167.75;103.25,94;135.75,94.5;195.5,134.25;7.75,167.25;32.75,85.5;156.75,160.75;170.75,120.5
3906;83.5,168.25;135.75,91;139.25,119.75;175.5,141;7.75,167.25;24,90.75;156.75,160.75;178.5,94
5573;62.25,136.25;131.5,62.25;161.5,151.25;210.5,155.5;7.75,167.25;20,90.75;156.75,160.75;171,111.75
6817;52.75,109.25;146.75,56.75;161.5,151.25;209.5,133.75;7.75,167.25;11,113.5;154.5,154.5;171.75,110.75
7806;57.25,107.75;146.75,56.75;174.25,140.75;213,132.25;7.75,167.25;13.75,78;189,135.5;189.5,84.75
6105;84.75,124.25;146.75,56.75;160.25,144.75;213,132.25;7.75,167.25;27.25,58.5;183.75,168;189,53.5
6742;101,144.5;125,53;140,142.25;213,132.25;7.75,167.25;20.25,42.25;200.25,136.25;219,58.25
7428;90.25,141.5;95.25,39.5;120.5,119.25;213,132.25;9.25,160.75;20.25,42.25;206,126;219,58.25
2621;79.25,145;95.25,39.5;120.75,119.75;185.25,142.5;16.25,155.75;17.25,51.5;204.5,124.5;219,58.25
4559;76,159.75;95.25,39.5;135.75,89.25;178.5,137.5;25,147.25;47.75,36.75;200.75,144.75;219,58.25
2450;75.5,160.25;115,35.25;135.75,89.25;174.75,141.5;34.25,143.5;46,37.5;205.25,151;219,58.25
3670;75.5,160.25;137.5,27.25;140.5,124.25;147.5,160.25;31.5,110;73.25,47.25;205.25,151;219,58.25
8333;93.5,144;114.75,29.25;140.5,124.25;184,151.5;31.75,109.25;73.5,45.5;173.75,172;219,58.25
7720;93.5,144;97.5,20.25;164,103.25;179,142.25;9.25,100.5;73.75,45;169.25,171.5;219,58.25
3881;74,149;121.75,33.25;162.5,67.75;179,153;9.25,100.5;108,52.75;169.25,171.5;219,58.25
2701;71.5,171.5;127.75,30.5;162.5,67.75;201.25,159;6.5,117.25;108,52.75;170.75,171.25;213,54.25
5635;71.25,170.5;127.75,30.5;152.5,71.75;191,142.75;6.5,117.25;119,61;193.5,166.25;218.75,58.25
5898;71.25,170.5;146.5,9;152.25,72.5;188.25,123;10.75,138;108,74.5;193.5,166.25;218.75,58.25
1017;90,153.5;146.5,9;175.25,66.75;187,140.75;42.25,129.5;108,74.5;164,169.5;197.25,69.25
2090;62,141.75;146.5,9;162.5,67.25;192.25,123;59,134.5;104.5,105.5;165.25,170.75;197.25,69.25
3586;47.25,130.5;146.5,9;170.5,85.75;171.5,107.5;54.25,138.5;94,110.75;165.25,170.75;209.75,51
4398;57.25,158.75;139.5,18.5;162.25,91;171.5,107.5;74.75,157.75;80,108.25;164,170;209.75,51
3969;54.75,171.5;121.75,5.5;151.25,85.5;171.5,107.5;74,168.75;80,108.25;165.25,170.75;216.75,57.25
5316;59,173;91.5,18.25;166.25,57.75;178.25,106;45.5,164.75;80,108.25;164,170;216.75,57.25
202;59,173;97.25,11.75;156.75,38.75;178.75,103.25;71.75,171;84,108.5;147,163.75;216.75,57.25
7348;59,173;109,12.25;130.5,54.25;178.25,102.75;48.5,145.5;84,108.5;124.5,172.25;216.75,57.25
3610;63,169;96.25,15.25;133.25,60.25;178.5,105;41.75,153.5;95,129.5;124.5,172.25;216.75,57.25
5446;64,167.75;96.25,15.25;141.25,57.5;191.25,107.5;48.5,157;123.5,133.75;144.25,154.75;216.75,57.25
688;83.75,171.75;96.25,15.25;124.25,56.5;191.75,107;77.25,157.5;123.5,133.75;174.75,166.5;202,56.25
7908;62.75,170.75;96.25,15.25;139.5,79.75;191.75,107;84.5,126.5;91.75,143.25;156.25,161.75;202,56.25
4806;69.5,142;125.75,6.25;147,52.75;180.5,115.25;90,138.75;102,161;156.25,161.75;202,56.25
6813;64.25,169.25;125.75,6.25;147,52.75;180.5,115.25;73.5,150.75;75,173.25;149.75,156;196.25,33.75
6615;98.25,160;125.75,6.25;138.5,77.75;168.5,84.75;70.5,152.25;75,173.25;163.5,135.75;172.75,46.25
2639;93.75,129.75;130.75,21.25;167.75,66.75;189,69.5;52.5,173.75;70.5,152.25;163.5,135.75;172.75,46.25
172;95.25,160;123.5,19;158.25,79.25;189.5,68.5;58,151;77.75,127.5;163.5,135.75;172.75,46.25
2890;95,150.5;123.5,19;134.5,99.25;189.5,68.5;58,151;85.75,133;151,156;159,62.75
5714;98,150;123.5,19;129,71.5;208.5,64.25;49,139;85,133;151,156;175,90.75
3072;92.5,141.5;123.5,19;129,71.5;186,75;42.75,166.25;85,133;143.75,149.5;201.25,115.25
7115;99.5,114.5;132.5,23.5;145,55.75;214.5,83.25;22.25,168.5;84.25,132.25;143.75,149.5;201.25,115.25
7491;118.25,105.5;132.5,23.5;147,52.25;214.5,83.25;22.25,168.5;73.25,109.25;147.25,127;201,136.5
2610;84.75,97.5;132.5,23.5;172.5,54;212.75,83.5;22,169;88.75,139.25;147.25,127;188.25,158.5
4795;87,89.25;111,20.5;173,54;212.25,110.75;34.25,146.25;96.5,127.5;147.25,127;188.25,158.5
659;55.75,87;111.25,20.25;159.5,78;212.25,110.75;22,126;102,111.25;147.25,127;214.75,165.5
4914;67.75,92.25;111.5,22;156,91;199.75,139.75;22,126;77.5,106;149.25,129.5;214.75,165.5
110;67.75,92.25;111.5,22;152.75,101;183.5,141;6.5,126;87,102.5;149.25,130.5;208.75,141.75
265;67.75,92.25;137.75,31.5;142.5,105.75;183.5,141;13.25,120.75;83.75,100.75;149.25,130;204.75,153
7749;66.25,107.5;149,28.75;165.75,123.5;193.75,141;13.25,120.75;83.75,100.75;149.25,130;203.75,151.25
7568;66.25,107.5;149,28.75;175.25,138.25;207.75,119.5;29.75,101.5;83.75,100.75;149.25,162.25;205.25,154.25
2452;56,129;173.5,28.75;195.5,125.75;203.5,97.5;27.75,103.75;75.75,95.5;149.25,162.25;205.25,154.25
3720;36.25,145.75;173.5,28.75;195.5,125.75;204.25,83.75;34.25,117;57.75,105;175.5,171;203.25,143.75
6755;32.5,145.75;173.5,28.75;176.25,139.75;205,83.5;34.25,117;69.5,67.25;158.75,161.25;202.25,137.25
2249;32.5,145.75;160.25,18;180.75,168.25;190.25,108.75;23,133.5;76.75,41.5;161.75,165;202.25,137.25
7180;32.5,145.75;146.5,54.25;179.5,150.75;191,108.25;6.5,167.25;58.5,64.25;161.75,165;198.25,167.5
6606;4.25,164.25;161.75,73.25;204.25,170.75;214.25,83.25;6.5,167.25;58.5,64.25;162.75,164.25;198.25,167.5
7196;4.25,163.25;167.25,43.75;190.5,159;218.5,100.25;6.5,167.25;64.75,40.75;173.25,168.5;198.25,167.5
4194;4.25,163.25;135.25,62;159.5,155.75;212.75,79.75;6.5,167.25;52.25,15.25;151.75,161.75;198.25,167.5
4872;4.25,162.25;121,56;128.25,161.5;185.75,81;11.25,156.75;52.25,15.25;151.75,161.75;203.25,133.75
2561;1.5,130;121,56;125.25,142.5;160.75,95;11.25,156.75;70.75,40;149.75,168.75;200,130.25
7233;1.5,140.75;94.5,78.25;110.75,130.5;161.75,93.5;1.5,163;51,35.5;149.75,168.75;200,130.25
