begin;0,0;0,274.5;74.75,0;74.75,274.5;0,0;0,274.5;74.75,0;74.75,274.5
12279;14.25,133;15,75.75;34.5,226.75;35.25,153.25;25,3.75;25.25,23.25;32.25,61.25;47.75,181.25
11347;13.5,110.75;25,56.25;34.5,226.75;61.25,141;15,2.75;25.25,23.25;32.75,61.75;47.75,181.25
7040;21.75,122;25,56.25;25,226.25;55.25,138;15.5,21.25;26,7;35.5,47.25;47.75,181.25
153;11,126.5;25,56.25;36.75,218.75;59,139;7,45.5;27,33.25;46.25,59;47.75,181.25
9964;11,126.5;25,56.25;26.25,227.25;58.5,153.5;7.75,45;44.25,27.5;46.75,59.75;52.75,165
13047;11,126.5;19,45;35.25,226.75;36.5,144.5;7.25,29.5;33,17.25;46.75,59.75;72.25,148.25
1169;10.75,123.5;19.25,34.25;35.25,226.75;36.5,144.5;8.75,30;35.25,31.75;48.5,59;59,134
4806;16.75,125.75;19.25,34.25;20,249;20.5,127;12.5,21;19.25,17.5;53.5,67.5;59,134
12923;16.75,125.75;19.75,33;24.5,222.75;31.75,99.5;12.5,21;40.25,35.25;41.75,92.75;66.25,163.5
13011;16.75,125.75;19.75,33;24.5,222.75;31.75,99.5;19.25,20.75;30.25,32;32.5,92.5;56.25,166.5
4088;16.75,125.75;25,56.25;28.75,223.25;48.25,114.25;22.5,22.25;29.75,28;36.25,112;56.25,166.5
12443;15.25,132.75;16.25,75.75;28.75,223.25;54.25,130.75;25.25,6;29.75,28;45,121;56.25,166.5
8690;11.75,125;14.25,76.25;19,218.75;54.25,130.75;15.25,3;35.75,16;36.75,113.5;56.25,166.5
3697;7.25,112.25;14.25,76.25;20,220;54.25,130.75;15.25,3;19,23.75;64.25,112.75;66.75,163.75
2945;8.5,125.25;14.25,76.25;20,220;61,141;30.5,28;37.25,16.75;38,112.25;56.75,135.5
4920;12.5,124.5;14.25,76.25;15.75,208.5;55.25,150.25;31.5,27.5;41,2.25;42.75,91.75;56.75,135.5
6754;12.5,124.5;14.25,76.25;15.75,208.5;59.5,145.5;46,37;46.5,16.75;50,76.75;73.25,145.5
12769;10,116.75;14.25,76.25;17.25,231;58,140.5;26.5,44.25;46.5,16.75;48.5,59;73.25,145.5
2516;1.5,123;8.5,77.5;34.25,218.75;36.75,123.25;26.5,44.25;46.5,16.75;70,62.75;73.25,145.5
11145;1.5,123;19,59.25;34.25,218.75;37.75,123.5;28.5,47;38.25,27;66,38.75;73.25,145.5
9826;8.75,100.5;19,59.25;37.25,227.75;37.75,123.5;10,44.25;17.75,35.5;60,38.25;73.25,144.5
438;11.25,92;18.75,39.75;23.5,237;59.75,132;10.5,73;17.75,35.5;62.75,54.25;73.25,144.5
11417;11.75,77;18.75,12.75;18.75,220.25;59.5,140;10.5,73;17.25,36.25;62.75,54.25;65.25,165
4529;13.5,76.25;18.75,12.75;28.25,218.5;59.5,140;27.75,58;42,20.75;52.75,78.25;58,183.5
5493;14.25,76.25;18.75,12.75;27.5,200;56.25,141;25.25,57.5;36,16;52.75,78.25;54.25,162
12785;19.25,54.25;24.75,22;34.75,223.5;55.25,166.25;11.75,32.25;46.75,34.75;52.75,78.25;54.25,162
12598;18.5,33;24,25;37.5,247.75;56.5,148.75;11.75,32.25;29.75,44.5;54.25,79.75;54.25,162
3302;14.5,25;24,24.5;42.75,268.5;56.5,148.75;30.25,32.5;30.5,32.75;48.75,59;54.25,162
9290;19.25,52.25;39.25,42.75;42.75,268.5;62.25,128;1.75,49.5;17.5,45.5;48.75,59;57.75,183.5
5150;19.25,52.25;44.25,63;51.75,255;61.25,131.75;6.25,77.75;17.5,45.5;63.25,60.25;71.75,159.75
11178;36.5,36.75;47.5,76;51.75,255;61.25,131.75;7,76.75;29,46.75;64.25,54.25;74.75,158.5
138;36.5,36.75;48.5,99.25;53,257.75;54.25,132.75;7,76.75;29,46.75;59.5,31.5;69.75,178.75
6229;17.75,50.5;49,99.25;55.25,270.5;60,129.25;7,76.75;54.25,74.25;63.5,34.75;69.75,178.75
3460;17.75,50.5;49,112.75;55,269.75;55.25,142.75;7,76.75;58.75,112.5;66.75,46.5;69.75,178.75
6173;12.5,60;37.25,124.25;55,269.75;62.5,143.75;21.5,95.25;54.75,111.5;66.75,46.5;69.75,178.75
10000;3.75,43.5;9.5,117.75;53.25,247.75;55.25,140.5;21.5,95.25;54.75,111.5;66.75,46.5;69,178.25
6875;25.75,53.75;40.75,119.5;53.25,247.75;63,130.25;38.25,125.75;50,76.75;66.75,46.5;69,178.25
10390;30.5,52.25;40.75,119.5;58.25,267.75;63,130.25;49,105;53.5,68.5;65.75,60.75;69,179.75
8010;30.5,52.25;35,152.25;35.25,247.75;46,140.25;49,105;64.5,44;65,85;69,179.75
3081;12.75,43.25;16.5,157;36.25,249.5;60.5,136.25;26.25,95.25;64.5,44;65,85;71.75,146.75
8137;30.5,33.75;42.25,163.5;48,265;60.5,136.25;11.5,101.75;46.5,38;54.75,76.25;71.75,146.75
11898;30.5,33.75;45,138.25;48,265;60.25,155.5;12,101.5;66.75,64.5;71,78;71.75,146.75
11507;38.25,49.5;45,138.25;48,265;60.25,166;12,101.5;49.5,81.75;53.5,90.75;56.25,163.5
3085;51.75,22.5;54.75,131.5;56.75,266;61.5,138.5;12,101.5;49.25,113.25;49.5,81.75;56.25,163.5
8237;31,45.5;52.5,91;55,267;62.25,138.5;1,81;49.25,113.25;49.5,81.75;56.25,196.75
2208;30.75,46.5;38.5,90.5;53,261;55.5,172.75;25,58;39.5,121;49.5,81.75;56.25,196.75
5867;33.25,56;34.25,127.25;55,263.25;62.5,139.5;28.75,50;39.5,121;49.5,81.75;54.25,197.75
11766;33.25,56;34.25,127.25;52.25,257.75;62.5,139.5;20.75,48;24.75,99.25;29.5,103.5;55.25,196.75
4223;23.5,78.75;50.5,131.5;52.25,257.75;54.25,146;11.5,45.5;19.5,127.5;38.5,122.75;55.25,196.75
3484;34.75,73.5;34.75,124;52.25,257.75;58.75,149;11.5,45.5;16,127.5;43,121.75;62.25,174
8560;34.75,73.5;54.25,146.25;58,226.75;59.75,149.25;17.75,29.5;19.5,98;53,90.25;62.25,174
1998;20,85;54,146;58,226.75;62.25,173.25;19.25,38.75;19.5,98;61.5,81;65,177
2494;20,85;32.75,161.75;58,226.25;69.25,178.25;19.25,38.75;39,107;42.25,78.5;44.75,183.25
11385;21,84.5;32.75,161.75;52.75,213.75;69.25,178.25;7,71.5;39,107;52.5,92.25;65.75,163.5
2630;44,86.25;50.5,150.75;55.25,236.75;62.5,173.75;5.75,79.25;39,107;47.25,91.25;65.75,163.5
11153;20,86;56.25,147;57,269.5;62.5,173.75;4.75,79;39,107;47.25,91.25;66,134
12994;27.5,122;40.75,151.5;57,269.5;62.5,173.75;4.75,79.5;54.75,90.5;65.25,90;66,134
2998;27,125.5;31,151.75;54,252.5;62.5,173.75;4.75,79.5;52.5,72.25;61,108.5;66,134
10545;25.25,127;37.75,123.75;54,252.5;62.5,144;11.25,72.25;54.75,72.75;61,108.5;72.75,145.5
11687;25.5,146;37.75,116.5;54,252.5;62.75,145.5;14.25,33;32.5,48.75;55,93;72.75,145.5
