1472;0;net_10227;net_10657;net_23965;net_26693;net_32034;net_37492;net_39614;net_44306
1484;0;net_7606;net_8972;net_10908;net_17441;net_32695;net_33884;net_33914;net_37990
1499;0;net_1;net_12275;net_15863;net_19250;net_28148;net_32624;net_34849;net_38821
1490;0;net_460;net_998;net_20387;net_22207;net_24832;net_37594;net_51997;net_52259
1493;0;net_530;net_1837;net_14067;net_14491;net_25967;net_44504;net_45195;net_51388
1545;0;net_2068;net_10018;net_18755;net_20279;net_34813;net_36841;net_38545;net_45087
1560;0;net_715;net_1110;net_5633;net_24920;net_27467;net_32484;net_43065;net_45075
1568;0;net_1208;net_9893;net_11679;net_13684;net_23091;net_30532;net_44766;net_46145
1563;0;net_1;net_5859;net_8215;net_19266;net_39132;net_40133;net_41942;net_42833
1617;0;net_2583;net_2821;net_2905;net_11087;net_12902;net_20094;net_34307;net_41922
1631;0;net_1051;net_9372;net_23352;net_24645;net_36441;net_40525;net_47804;net_49097
1632;0;net_1;net_751;net_3613;net_11730;net_25211;net_35079;net_35944;net_49072
1637;0;net_0;net_2872;net_3744;net_5924;net_12902;net_13377;net_42932;net_48513
1664;0;net_3307;net_10904;net_11376;net_23004;net_32570;net_37418;net_51937;net_54291
1666;0;net_4206;net_9912;net_11982;net_16982;net_35504;net_40870;net_45493;net_51546
1670;0;net_0;net_1;net_2752;net_5901;net_14553;net_42466;net_45439;net_50305
1671;0;net_768;net_7346;net_10657;net_10833;net_33703;net_37888;net_45017;net_50016
1689;0;net_2068;net_3454;net_11652;net_14820;net_20571;net_37749;net_43079;net_52950
1690;0;net_1530;net_6859;net_11718;net_15087;net_32988;net_34499;net_45997;net_52079
1705;0;net_9466;net_11818;net_13040;net_15071;net_29491;net_33294;net_33738;net_38551
1712;0;net_4452;net_17286;net_21395;net_21738;net_37644;net_40339;net_41638;net_45436
1822;0;net_1063;net_6774;net_10517;net_11622;net_25433;net_34343;net_34865;net_49581
1771;0;net_1809;net_11310;net_25783;net_28028;net_33258;net_50997;net_52049;net_53778
1801;0;net_475;net_1094;net_10686;net_11981;net_13214;net_32154;net_43302;net_52774
1805;0;net_3085;net_6823;net_10651;net_21770;net_32911;net_33840;net_40401;net_50694
1830;0;net_0;net_9424;net_13445;net_19400;net_26613;net_31352;net_37136;net_52179
1881;0;net_950;net_4932;net_10025;net_15629;net_20548;net_34889;net_44963;net_54597
1873;0;net_18459;net_22235;net_23605;net_26870;net_36579;net_37623;net_38007;net_54013
1886;0;net_1419;net_8069;net_11655;net_27423;net_30957;net_32226;net_32835;net_41614
1905;0;net_0;net_271;net_5488;net_9551;net_19551;net_28230;net_30117;net_34767
1938;0;net_5684;net_9515;net_16993;net_22643;net_31490;net_31891;net_33798;net_41574
1942;0;net_1039;net_1167;net_5609;net_20468;net_24317;net_31173;net_33336;net_43487
1959;0;net_0;net_12080;net_12266;net_16640;net_36154;net_37671;net_46328;net_49944
1960;0;net_1;net_7816;net_9286;net_13883;net_17838;net_42250;net_53777;net_54626
1971;0;net_5445;net_11064;net_22373;net_24085;net_45061;net_45609;net_46798;net_54166
1981;0;net_9185;net_11913;net_17604;net_23428;net_34415;net_40473;net_41474;net_51893
1991;0;net_2550;net_9352;net_16677;net_27584;net_31108;net_44273;net_47970;net_50987
1997;0;net_0;net_4766;net_12753;net_18990;net_20929;net_35704;net_36890;net_53945
1999;0;net_0;net_7;net_7315;net_15928;net_22172;net_24911;net_44870;net_51437
2013;0;net_19833;net_19843;net_20923;net_24056;net_29535;net_30449;net_33128;net_40046
2016;0;net_0;net_15262;net_16736;net_17277;net_29498;net_31938;net_39400;net_39686
2010;0;net_1;net_2151;net_2453;net_4498;net_8598;net_24384;net_36402;net_53293
1951;0;net_0;net_6821;net_19087;net_19542;net_20513;net_40148;net_43149;net_44941
2043;0;net_0;net_6045;net_10814;net_12889;net_25212;net_46029;net_51472;net_53609
2066;0;net_0;net_21303;net_23204;net_25873;net_30609;net_46846;net_48179;net_53879
2063;0;net_6429;net_9301;net_13346;net_21077;net_34232;net_38609;net_50651;net_50927
2095;0;net_3724;net_7642;net_15255;net_15835;net_29176;net_42904;net_49040;net_54218
2110;0;net_10130;net_12014;net_18106;net_25244;net_31741;net_40066;net_41785;net_47412
2123;0;net_1151;net_4661;net_8069;net_11369;net_16502;net_31065;net_34651;net_39541
2132;0;net_2976;net_4845;net_13260;net_14379;net_23779;net_31700;net_47341;net_47592
2134;0;net_0;net_909;net_9586;net_17748;net_28095;net_33640;net_40956;net_49719
2139;0;net_0;net_1283;net_3904;net_4439;net_21275;net_29401;net_41122;net_48470
2169;0;net_0;net_1;net_9684;net_23058;net_25724;net_29220;net_33879;net_34747
2175;0;net_21;net_1505;net_9789;net_10917;net_44135;net_44833;net_49564;net_49919
2200;0;net_2331;net_4145;net_4437;net_7782;net_18593;net_44693;net_45918;net_46099
2201;0;net_7080;net_11585;net_20239;net_20650;net_41557;net_42788;net_51515;net_54387
2203;0;net_9921;net_18618;net_22223;net_24909;net_42385;net_48797;net_50434;net_52009
2225;0;net_15178;net_18398;net_23789;net_24255;net_31774;net_43779;net_47087;net_52029
2230;0;net_10537;net_16907;net_19261;net_20478;net_35127;net_39644;net_45271;net_46623
2238;0;net_3246;net_5181;net_10935;net_11474;net_18292;net_28248;net_33013;net_52900
2240;0;net_4363;net_7992;net_10087;net_14106;net_29144;net_41914;net_43073;net_47021
2234;0;net_9077;net_10829;net_17568;net_18168;net_32749;net_45385;net_46423;net_47741
2251;0;net_1039;net_12469;net_15078;net_22584;net_30502;net_32426;net_34453;net_44147
2264;0;net_1795;net_2084;net_15195;net_25462;net_25717;net_33780;net_35540;net_45399
2274;0;net_17789;net_17862;net_20271;net_20482;net_35125;net_46428;net_48995;net_50953
2322;0;net_0;net_15925;net_17397;net_25430;net_26184;net_38760;net_41482;net_51717
2349;0;net_0;net_7909;net_13816;net_20217;net_23782;net_33581;net_45065;net_48868
2336;0;net_0;net_2257;net_7096;net_13713;net_23515;net_34862;net_41768;net_43066
2363;0;net_0;net_5841;net_14896;net_21610;net_25392;net_41504;net_44599;net_53288
2372;0;net_12083;net_23785;net_26515;net_26914;net_39875;net_43616;net_43710;net_49956
2384;0;net_1;net_11761;net_13946;net_14768;net_18159;net_32569;net_34571;net_41271
2388;0;net_8651;net_8856;net_13087;net_27646;net_33133;net_39844;net_45374;net_53096
2410;0;net_1661;net_8940;net_12385;net_15402;net_31220;net_37247;net_45145;net_52209
2415;0;net_4584;net_7358;net_9177;net_12661;net_30416;net_32078;net_41540;net_49857
2433;0;net_1524;net_20827;net_21491;net_25283;net_33440;net_38938;net_46833;net_51562
2458;0;net_1;net_12005;net_25849;net_25870;net_31099;net_37477;net_43867;net_48057
2528;0;net_11;net_131;net_1759;net_13152;net_27474;net_36417;net_47555;net_51577
2531;0;net_415;net_2505;net_13718;net_18411;net_23142;net_26329;net_33123;net_49482
2544;0;net_0;net_94;net_8590;net_10729;net_19746;net_31533;net_33181;net_41886
2560;0;net_1;net_2808;net_7244;net_18311;net_22436;net_30818;net_33890;net_53314
2572;0;net_5128;net_9116;net_10579;net_17390;net_28981;net_32685;net_51737;net_51931
2590;0;net_0;net_2135;net_4471;net_9990;net_31331;net_40255;net_47997;net_49295
2632;0;net_4329;net_6819;net_11128;net_23957;net_30034;net_42730;net_44325;net_53194
2623;0;net_441;net_3625;net_4123;net_13043;net_18960;net_39281;net_40538;net_41180
2567;0;net_0;net_2141;net_11200;net_15964;net_24338;net_32515;net_36680;net_53598
2634;0;net_1;net_228;net_9666;net_11429;net_14454;net_43359;net_49555;net_50478
2635;0;net_3778;net_5274;net_13062;net_24100;net_33542;net_43655;net_48955;net_54059
2651;0;net_1197;net_2668;net_14084;net_15650;net_16189;net_24779;net_29304;net_50372
2671;0;net_15130;net_15574;net_26203;net_28029;net_31490;net_38478;net_44756;net_52383
2679;0;net_1966;net_7619;net_18797;net_23137;net_39468;net_43333;net_43877;net_45519
2689;0;net_1;net_17380;net_18732;net_22743;net_35048;net_41599;net_50340;net_51942
2760;0;net_731;net_8644;net_16552;net_20135;net_35668;net_37279;net_41337;net_41517
2783;0;net_7055;net_14523;net_22189;net_23774;net_29365;net_30961;net_45120;net_46171
2774;0;net_1763;net_6334;net_16234;net_18767;net_37296;net_38593;net_38683;net_46046
2805;0;net_1;net_769;net_2515;net_16826;net_23328;net_32834;net_36158;net_39825
2806;0;net_1;net_9948;net_17571;net_19587;net_30247;net_30596;net_39667;net_47100
2859;0;net_3875;net_14619;net_16831;net_23971;net_32157;net_34710;net_41434;net_44289
2868;0;net_1;net_5634;net_14911;net_25774;net_33975;net_36549;net_38018;net_54664
2886;0;net_0;net_1606;net_20515;net_25926;net_35116;net_40027;net_46776;net_48730
2884;0;net_0;net_2014;net_9742;net_14242;net_24420;net_40777;net_41686;net_54170
2927;0;net_1357;net_1524;net_2093;net_2814;net_7645;net_35229;net_40364;net_41923
2893;0;net_2024;net_14551;net_24727;net_25237;net_28317;net_37256;net_45036;net_48507
2903;0;net_1406;net_3255;net_10497;net_18669;net_20631;net_28145;net_33565;net_54671
2917;0;net_0;net_3086;net_11652;net_12665;net_26463;net_30307;net_32016;net_53934
2977;0;net_4122;net_5107;net_13665;net_14481;net_32337;net_36920;net_38377;net_53809
2933;0;net_10958;net_13547;net_17186;net_27345;net_29832;net_34019;net_34932;net_45046
2957;0;net_5494;net_8900;net_24813;net_25323;net_30916;net_36218;net_43653;net_54154
2968;0;net_0;net_5284;net_8271;net_13608;net_23269;net_31067;net_44775;net_45721
2970;0;net_1;net_5229;net_7060;net_8099;net_29830;net_35203;net_40322;net_40828
2990;0;net_3347;net_13655;net_20714;net_25604;net_43047;net_45627;net_48503;net_52637
3006;0;net_0;net_3876;net_5909;net_17110;net_18695;net_34308;net_48282;net_49183
3008;0;net_5324;net_7660;net_17875;net_19013;net_29336;net_29670;net_45513;net_46281
3013;0;net_20724;net_21253;net_22274;net_24366;net_34796;net_38125;net_39072;net_39707
3032;0;net_4357;net_6977;net_7447;net_18195;net_29091;net_29888;net_32369;net_42819
3045;0;net_220;net_2213;net_4396;net_14310;net_22274;net_29666;net_32993;net_52358
3059;0;net_0;net_10273;net_12332;net_16972;net_38015;net_40897;net_43666;net_50423
3084;0;net_1841;net_2736;net_6229;net_6298;net_22510;net_31890;net_44083;net_50682
3097;0;net_11300;net_13363;net_21975;net_25430;net_33140;net_34830;net_42208;net_52181
3101;0;net_1624;net_4734;net_7391;net_10436;net_25260;net_29989;net_34821;net_40219
3113;0;net_2356;net_3104;net_16464;net_18367;net_22586;net_36268;net_46094;net_53112
3139;0;net_10501;net_11329;net_12060;net_14867;net_45948;net_48314;net_48526;net_54200
3144;0;net_400;net_906;net_15583;net_16794;net_19857;net_33930;net_46190;net_49842
3151;0;net_5043;net_10895;net_17804;net_23453;net_38638;net_46596;net_47802;net_52437
3158;0;net_6238;net_10996;net_19256;net_23019;net_32045;net_34100;net_34464;net_36626
3165;0;net_3227;net_6228;net_13615;net_18351;net_27301;net_39850;net_47079;net_54441
3172;0;net_2509;net_11793;net_12472;net_23973;net_28342;net_33235;net_40411;net_52356
3189;0;net_1509;net_6154;net_10958;net_27804;net_34587;net_35591;net_36290;net_47872
3190;0;net_2900;net_13122;net_18111;net_25631;net_31229;net_40501;net_52359;net_54337
